index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,values,count
724.0,223520.0,ET2023A3050199,222744.0,Ethiopia,Somali,Sitti,Gablalu,2,21
724.0,223520.0,ET2023A3050199,222744.0,Ethiopia,Somali,Sitti,Gablalu,3,20
724.0,223520.0,ET2023A3050199,222744.0,Ethiopia,Somali,Sitti,Gablalu,11,6011
724.0,223520.0,ET2023A3050199,222744.0,Ethiopia,Somali,Sitti,Gablalu,255,23519303
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,1,63196
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,2,4918
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,3,1855
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,4,28
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,5,7
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,11,51317
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,12,3503
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,13,2647
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,255,57501142
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,1,5629
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,2,23165
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,3,24846
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,5,8
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,11,43141
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,12,361
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,13,354
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,21,43
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,255,32640264
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,1,40307
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,2,13323
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,3,2952
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,4,52
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,11,35204
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,12,1814
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,13,1608
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,255,33843493
787.0,223583.0,ET2023A3050799,222750.0,Ethiopia,Somali,Dollo,Galhamur,1,22123
787.0,223583.0,ET2023A3050799,222750.0,Ethiopia,Somali,Dollo,Galhamur,2,4564
787.0,223583.0,ET2023A3050799,222750.0,Ethiopia,Somali,Dollo,Galhamur,3,175
787.0,223583.0,ET2023A3050799,222750.0,Ethiopia,Somali,Dollo,Galhamur,11,20850
787.0,223583.0,ET2023A3050799,222750.0,Ethiopia,Somali,Dollo,Galhamur,12,358
