index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,values,count
701.0,223497.0,ET2023A3042220,222742.0,Ethiopia,Oromia,East Borena,Dhas,1,2751
,,,,,,,,2,8925
,,,,,,,,3,4553
,,,,,,,,5,18
,,,,,,,,11,12855
,,,,,,,,255,20991276
846.0,223642.0,ET2023A3120201,222760.0,Ethiopia,Gambela,Agniwak,Abobo,1,6
,,,,,,,,2,1826
,,,,,,,,3,11928
,,,,,,,,11,10162
,,,,,,,,12,247
,,,,,,,,13,99
,,,,,,,,21,86
,,,,,,,,22,127
,,,,,,,,23,56
,,,,,,,,255,36742246
805.0,223601.0,ET2023A3051003,222753.0,Ethiopia,Somali,Nogob,Garbo,1,15316
,,,,,,,,2,1680
,,,,,,,,3,34
,,,,,,,,11,11875
,,,,,,,,12,720
,,,,,,,,13,632
,,,,,,,,255,19954459
548.0,223344.0,ET2023A3040915,222730.0,Ethiopia,Oromia,West Hararge,Hawi Gudina,1,7095
,,,,,,,,2,43241
,,,,,,,,3,29498
,,,,,,,,5,391
,,,,,,,,11,66467
,,,,,,,,255,21277155
839.0,223635.0,ET2023A3060508,222758.0,Ethiopia,Benishangul Gumuz,Mao-Komo,Maokomo Special,2,4069
,,,,,,,,3,40258
,,,,,,,,11,33577
,,,,,,,,12,944
,,,,,,,,255,13481828
129.0,222925.0,ET2023A3020403,222705.0,Ethiopia,Afar,Fanti,Teru,1,24368
,,,,,,,,2,616
,,,,,,,,3,81
,,,,,,,,11,20351
,,,,,,,,255,33328897
820.0,223616.0,ET2023A3060207,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Bulen,1,55
,,,,,,,,2,3973
,,,,,,,,3,42001
,,,,,,,,5,580
,,,,,,,,11,36688
,,,,,,,,12,833
,,,,,,,,13,261
,,,,,,,,255,20987659
775.0,223571.0,ET2023A3050606,222749.0,Ethiopia,Somali,Shebelle,Mustahil,1,16406
,,,,,,,,2,1649
,,,,,,,,3,635
,,,,,,,,4,22
,,,,,,,,11,12022
,,,,,,,,12,523
,,,,,,,,13,475
,,,,,,,,255,13412538
110.0,222906.0,ET2023A3020205,222703.0,Ethiopia,Afar,Kilbati,Berahile,1,45472
,,,,,,,,2,450
,,,,,,,,3,10
,,,,,,,,5,16
,,,,,,,,11,35947
,,,,,,,,21,11
,,,,,,,,255,47336733
729.0,223525.0,ET2023A3050206,222745.0,Ethiopia,Somali,Fafan,Kebribeyah,1,77065
,,,,,,,,2,50561
,,,,,,,,3,4301
,,,,,,,,5,79
,,,,,,,,11,95903
,,,,,,,,12,5322
,,,,,,,,13,4157
,,,,,,,,255,23057735
100.0,222896.0,ET2023A3020108,222702.0,Ethiopia,Afar,Awusi,Kori,1,13083
,,,,,,,,2,39
,,,,,,,,3,5
,,,,,,,,5,11
,,,,,,,,11,10972
,,,,,,,,255,22627800
800.0,223596.0,ET2023A3050904,222752.0,Ethiopia,Somali,Liben,Guradamole,1,537
,,,,,,,,2,1372
,,,,,,,,3,400
,,,,,,,,4,1
,,,,,,,,11,1920
,,,,,,,,255,24793149
132.0,222928.0,ET2023A3020406,222705.0,Ethiopia,Afar,Fanti,Mabay,1,15399
,,,,,,,,2,147
,,,,,,,,3,2
,,,,,,,,11,13002
,,,,,,,,255,23189872
786.0,223582.0,ET2023A3050798,222750.0,Ethiopia,Somali,Dollo,Lehel-Yucub,1,8106
,,,,,,,,2,3478
,,,,,,,,3,150
,,,,,,,,11,8607
,,,,,,,,12,152
,,,,,,,,13,650
,,,,,,,,255,22143099
741.0,223537.0,ET2023A3050303,222746.0,Ethiopia,Somali,Jarar,Aware,1,15736
,,,,,,,,2,202
,,,,,,,,3,1
,,,,,,,,11,12134
,,,,,,,,255,18361938
589.0,223385.0,ET2023A3041211,222733.0,Ethiopia,Oromia,Borena,Dire,1,2506
,,,,,,,,2,15222
,,,,,,,,3,16089
,,,,,,,,5,447
,,,,,,,,11,24734
,,,,,,,,12,1284
,,,,,,,,13,2149
,,,,,,,,21,54
,,,,,,,,255,16799112
717.0,223513.0,ET2023A3050102,222744.0,Ethiopia,Somali,Sitti,Dembel,1,25260
,,,,,,,,2,10238
,,,,,,,,3,1123
,,,,,,,,5,15
,,,,,,,,11,28912
,,,,,,,,255,11023783
748.0,223544.0,ET2023A3050394,222746.0,Ethiopia,Somali,Jarar,Burqod,1,12214
,,,,,,,,2,426
,,,,,,,,3,8
,,,,,,,,5,255
,,,,,,,,11,9600
,,,,,,,,12,570
,,,,,,,,13,169
,,,,,,,,255,21957428
587.0,223383.0,ET2023A3041207,222733.0,Ethiopia,Oromia,Borena,Yabelo,1,7597
,,,,,,,,2,37660
,,,,,,,,3,30990
,,,,,,,,5,287
,,,,,,,,11,62220
,,,,,,,,255,13660785
1073.0,223869.0,ET2023A3182508,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Nyngatom,1,6863
,,,,,,,,2,5899
,,,,,,,,3,1366
,,,,,,,,4,1
,,,,,,,,11,10730
,,,,,,,,12,147
,,,,,,,,13,385
,,,,,,,,255,22353989
569.0,223365.0,ET2023A3041018,222731.0,Ethiopia,Oromia,East Hararge,Meyu Muleke,1,3836
,,,,,,,,2,23441
,,,,,,,,3,11114
,,,,,,,,5,762
,,,,,,,,11,31173
,,,,,,,,12,806
,,,,,,,,13,905
,,,,,,,,255,20288363
698.0,223494.0,ET2023A3042207,222742.0,Ethiopia,Oromia,East Borena,Liben,1,7958
,,,,,,,,2,43541
,,,,,,,,3,32206
,,,,,,,,5,185
,,,,,,,,11,61861
,,,,,,,,12,3827
,,,,,,,,13,2490
,,,,,,,,21,79
,,,,,,,,255,30140843
833.0,223629.0,ET2023A3060401,222757.0,Ethiopia,Benishangul Gumuz,Kemashi,Zayi,2,2629
,,,,,,,,3,16641
,,,,,,,,11,14096
,,,,,,,,12,364
,,,,,,,,13,249
,,,,,,,,255,90732093
106.0,222902.0,ET2023A3020201,222703.0,Ethiopia,Afar,Kilbati,Erebti,1,15167
,,,,,,,,2,173
,,,,,,,,3,10
,,,,,,,,5,57
,,,,,,,,11,12826
,,,,,,,,255,39430989
806.0,223602.0,ET2023A3051005,222753.0,Ethiopia,Somali,Nogob,Sagag,1,13314
,,,,,,,,2,816
,,,,,,,,3,6
,,,,,,,,11,10418
,,,,,,,,12,540
,,,,,,,,13,147
,,,,,,,,255,32842144
767.0,223563.0,ET2023A3050597,222748.0,Ethiopia,Somali,Korahe,Higloley,1,4452
,,,,,,,,2,192
,,,,,,,,3,10
,,,,,,,,11,3533
,,,,,,,,255,18042502
720.0,223516.0,ET2023A3050105,222744.0,Ethiopia,Somali,Sitti,Afdem,1,6137
,,,,,,,,2,1486
,,,,,,,,3,1529
,,,,,,,,5,2
,,,,,,,,11,7695
,,,,,,,,255,49693779
948.0,223744.0,ET2023A3171102,222770.0,Ethiopia,South West Ethiopia,Bench Sheko,Gurafereda,2,2008
,,,,,,,,3,23191
,,,,,,,,11,19994
,,,,,,,,12,47
,,,,,,,,13,91
,,,,,,,,21,38
,,,,,,,,255,27402744
702.0,223498.0,ET2023A3042297,222742.0,Ethiopia,Oromia,East Borena,Gumi Idalo,1,1989
,,,,,,,,2,10016
,,,,,,,,3,4361
,,,,,,,,5,213
,,,,,,,,11,13452
,,,,,,,,255,20036102
591.0,223387.0,ET2023A3041216,222733.0,Ethiopia,Oromia,Borena,Miyo,1,3704
,,,,,,,,2,17340
,,,,,,,,3,13947
,,,,,,,,5,56
,,,,,,,,11,26689
,,,,,,,,12,1489
,,,,,,,,255,11880575
795.0,223591.0,ET2023A3050898,222751.0,Ethiopia,Somali,Afder,Kohle /Qoxle,1,4555
,,,,,,,,2,699
,,,,,,,,3,24
,,,,,,,,5,23
,,,,,,,,11,4149
,,,,,,,,255,22731630
762.0,223558.0,ET2023A3050504,222748.0,Ethiopia,Somali,Korahe,Debeweyin,1,10616
,,,,,,,,2,368
,,,,,,,,3,77
,,,,,,,,11,7282
,,,,,,,,12,664
,,,,,,,,13,508
,,,,,,,,23,244
,,,,,,,,255,24365410
550.0,223346.0,ET2023A3040998,222730.0,Ethiopia,Oromia,West Hararge,Burqua Dhintu,1,6099
,,,,,,,,2,40675
,,,,,,,,3,10471
,,,,,,,,11,48563
,,,,,,,,255,40170107
70.0,222866.0,ET2023A3010502,222699.0,Ethiopia,Tigray,West Tigray,Welkait,1,995
,,,,,,,,2,15670
,,,,,,,,3,69708
,,,,,,,,4,4
,,,,,,,,5,513
,,,,,,,,11,70015
,,,,,,,,12,398
,,,,,,,,13,553
,,,,,,,,21,17
,,,,,,,,255,31593810
743.0,223539.0,ET2023A3050305,222746.0,Ethiopia,Somali,Jarar,Gunagado,1,10298
,,,,,,,,2,210
,,,,,,,,11,7288
,,,,,,,,12,433
,,,,,,,,13,189
,,,,,,,,255,27419498
834.0,223630.0,ET2023A3060402,222757.0,Ethiopia,Benishangul Gumuz,Kemashi,Sedal,1,1485
,,,,,,,,2,3638
,,,,,,,,3,14023
,,,,,,,,4,1
,,,,,,,,5,134
,,,,,,,,11,14961
,,,,,,,,21,386
,,,,,,,,255,85850788
1071.0,223867.0,ET2023A3182506,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Dasenech /Kuraz,1,16682
,,,,,,,,2,9432
,,,,,,,,3,2067
,,,,,,,,4,3
,,,,,,,,5,20
,,,,,,,,11,22551
,,,,,,,,21,3
,,,,,,,,255,19398224
