id,location_name,address,longitude,latitude,status
169,"Ministry of Revenue, Dessie Zuria Fayda Registration Centers",https://goo.gl/maps/sdKLyBzx7i39zM3c9,11.168,39.335,0
170,Commercial Bank of Ethiopia - Bole Welosefer Branch,https://goo.gl/maps/QCjzNv6fbvn8WGxH8,8.992,38.774,
171,Documents Authentication and Registration service - Global hotel Branch | የሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - ግሎባል ሆቴል ቅርንጫፍ,https://maps.app.goo.gl/TSPzzCK3wZj7tBZv8,8.993490091301368,38.7598241086326,
172,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት- Mesalemiya ehl berenda(esat adega),https://maps.app.goo.gl/F3HwbE3sUY4HAh5E6,9.032379805171148,38.72380659537051,
173,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት -  Megenegna Derartu BLDG,https://maps.app.goo.gl/uGTir4H16A2zfKcB9,9.01876,38.79963,
174,Document autentication and registration | ውል እና ማስረጃ ቅርንጫፍ 4 - 6kilo Leadership Building,https://maps.app.goo.gl/zXK7BBp4bmmfdVL78,9.044933,38.763333,
175,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Semen hotel Darule Building,https://maps.app.goo.gl/t9GQPPtdHrLhUDuK8,9.046212,38.747211,
176,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Ayertena select college building,https://maps.app.goo.gl/Md9EW4tCSR2j4ek78,8.985410,38.696809,
177,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Kality Sheger building,https://maps.app.goo.gl/EXrRcRWPh8hLEjfBA,8.919697,38.763120,
178,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - kazanchis Enat bank building,https://maps.app.goo.gl/c17qgxHw4dyJEyyF7,9.011095,38.76965,
179,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Kera near to Ditamo building oromia bank,https://maps.app.goo.gl/jB4aKNMwgLu93ngg7,8.986841,38.750863,
180,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Mexico,https://maps.app.goo.gl/hoxb8PkNmktm77Fk7,9.010831708822376,38.74094355165898,
181,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Around Ayat Derartu Square,https://maps.app.goo.gl/gK2VGzWPzHVNL2e98,9.02572,38.87814,
182,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Bole Birhane adere mall,https://maps.app.goo.gl/rNXjdxXxGya4xgAc7,8.996067765497614,38.787800683406445,
183,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Jemo delina mall,https://maps.app.goo.gl/GUprKGTryiWtpdMs5,8.96184327566941,38.71560373793264,
184,Documents Authentication and Registration Service /ሰነዶች ማረጋገጫና ምዝገባ አገልግሎት - Semmit fiyel Bet,https://maps.app.goo.gl/1gxLeVu8MGBR2CXr9,9.009975941694574,38.85064357786461,
185,Ministry of Revenue Aksum - የገቢዎች ሚኒስቴር አክሱም,https://maps.app.goo.gl/YcrVNku2w9SurPu39,14.122681477935886,38.734162273681406,
186,Ministry of Revenue Adwa - የገቢዎች ሚኒስቴር አድዋ,https://maps.app.goo.gl/t9kouULZa7eB7KVz5,14.162835,38.89215,
187,Ministry of Revenue Adigrat - የገቢዎች ሚኒስቴር አዲግራት,https://maps.app.goo.gl/c1qFKF7vwaK9D8Fz6,14.277479210946925,39.46098817924013,
188,Ministry of Revenue maychew - የገቢዎች ሚኒስቴር  ማይጨዉ,https://maps.app.goo.gl/V4nEZfVYP6vJkhhy5,12.788550,39.542320,
189,Ministry of Revenue shire - የገቢዎች ሚኒስቴር ሽረ,https://maps.app.goo.gl/gCPp2FWQ6PnFyCGn6,14.093188,38.280609,
190,Ministry of Revenue Mekele - የገቢዎች ሚኒስቴር መቐለ,https://maps.app.goo.gl/g28pi6vF8nzRLPcG9,13.488436,39.478888,
