admin_0,admin_1,admin_2,admin_3,night_time_mean,night_time_sd,night_time_sum
Ethiopia,Amhara,South Gondar,Mena Meketewa,3.3998709592996108e+38,1.0019053397263644e+37,2.9388144585089906e+43
Ethiopia,South West Ethiopia,Dawro,Disa,1.750105567101818e+38,1.7007147898412666e+38,2.591556323764372e+43
Ethiopia,Oromia,Buno Bedele,Dabo Hana,2.8161901135430428e+38,1.2853291596120193e+38,4.1067655568764133e+43
Ethiopia,Amhara,Central Gondar,Chilga 2,3.2062736644876794e+38,7.938466184248537e+37,7.436054008153116e+43
Ethiopia,Tigray,South Tigray,Chercher,3.2586928655884808e+38,6.853301106251931e+37,1.918001446828068e+43
Ethiopia,Oromia,West Shewa,Jeldu,3.3362133873453082e+38,4.71407931016558e+37,2.684317291458035e+43
Ethiopia,Afar,Khari,Dawe,3.399495803726164e+38,1.0635965045970244e+37,2.6072093117097443e+43
Ethiopia,Amhara,South Wollo,Worebabu,3.3877311395588873e+38,2.261166636013361e+37,3.368454949374797e+43
Ethiopia,Tigray,Central Tigray,Egela,3.377389402057721e+38,2.9308827904094294e+37,2.2593046405065124e+43
Ethiopia,South Ethiopia,Gofa,Uba Debre Tsehay,2.7797157518183877e+38,1.3160783902416946e+38,2.8549348600625933e+43
Ethiopia,Amhara,South Gondar,Farta,3.3093432482896678e+38,5.561997200677009e+37,3.6091366531522286e+43
Ethiopia,South West Ethiopia,Sheka,Anderacha,2.931374173578801e+38,1.175582528402378e+38,2.2664505697859215e+43
Ethiopia,Oromia,West Hararge,Anchar,3.3759516092866994e+38,3.011944375590368e+37,2.714636448543528e+43
Ethiopia,Amhara,North Shewa (AM),Kewet,3.039189598346282e+38,1.051262226730597e+38,4.2648947633593376e+43
Ethiopia,Oromia,Jimma,Mancho,2.890350950471165e+38,1.2170560477902141e+38,2.6400465581603623e+43
Ethiopia,Tigray,East Tigray,Hawzen,3.258182787787546e+38,6.864879965600824e+37,3.457779065367411e+43
Ethiopia,Oromia,East Wellega,Jimma Arjo,2.8050392329452917e+38,1.2949163014014913e+38,3.552105331855611e+43
Ethiopia,Central Ethiopia,Yem,Yem,2.5249786203423904e+38,1.4888047112486165e+38,2.0388697363540734e+43
Ethiopia,Afar,Fanti,Yalo,3.395818456882056e+38,1.542327480197101e+37,1.6495867317995964e+43
Ethiopia,Amhara,West Gojam,Sekela,3.3243333631298965e+38,5.108104040908045e+37,2.2828862071285624e+43
Ethiopia,Oromia,Horo Guduru,Jarte Jardega,2.8891152903310933e+38,1.218261936615551e+38,4.410263381843317e+43
Ethiopia,Oromia,West Arsi,Shala,2.8310596694619855e+38,1.2722804038135682e+38,2.713853799146259e+43
Ethiopia,Tigray,South Tigray,Raya Alamata,3.307111629380778e+38,5.626097486064511e+37,4.877096733196715e+43
Ethiopia,Amhara,North Shewa (AM),Berehet,3.3566006168358626e+38,3.9389293635392113e+37,2.2239493046907692e+43
Ethiopia,Amhara,North Gondar,Telemt,3.3949111821173496e+38,1.6389479045203985e+37,4.482335182861358e+43
Ethiopia,Tigray,South Tigray,Ofla,3.3395556640810944e+38,4.596589469801877e+37,1.9165042045028584e+43
Ethiopia,Amhara,Central Gondar,West Dembiya,3.35573113079319e+38,3.9752888771530223e+37,2.626060953713519e+43
Ethiopia,South West Ethiopia,Keffa,Gimbo,2.5498365887020234e+38,1.4747803736148265e+38,3.5090596150058373e+43
Ethiopia,Oromia,Jimma,Omo Nada,3.0651913273473766e+38,1.0173038407539569e+38,3.8726853306237692e+43
Ethiopia,South West Ethiopia,Keffa,Saylem,3.016428367076232e+38,1.0795986006174128e+38,2.9584827781446976e+43
Ethiopia,Oromia,East Wellega,Sasiga,2.539519444011841e+38,1.4806678732622665e+38,1.9291967360324755e+43
Ethiopia,Oromia,West Gujii,Suro Berguda,2.8591348469620346e+38,1.2467875030211466e+38,3.2280204249170763e+43
Ethiopia,Oromia,Jimma,Dedo,2.956937917849199e+38,1.148240343084736e+38,2.5016877560171365e+43
Ethiopia,Amhara,North Wollo,Guba Lafto,3.3430460967698803e+38,4.470329989698316e+37,5.172427781844294e+43
Ethiopia,Oromia,Kelem,Hawa Galan,2.461722139630723e+38,1.5220808032780525e+38,3.2878760896907935e+43
Ethiopia,Afar,Gabi,Borimodaytu,3.1099206602632914e+38,9.544131643098249e+37,1.9065679599810133e+43
Ethiopia,South Ethiopia,Gofa,Denba Gofa,2.5279118729672884e+38,1.4871783365817603e+38,5.177770214686519e+43
Ethiopia,South Ethiopia,Gamo,Mirab Abaya,2.9824134450449106e+38,1.1197484092764596e+38,2.2713166073428524e+43
Ethiopia,Oromia,Jimma,Omo Beyam,2.8256281314311847e+38,1.2770823684387634e+38,2.6734963128349297e+43
Ethiopia,Amhara,West Gojam,Bure (AM),2.8644384894265703e+38,1.2418416364937966e+38,5.279446579862111e+43
Ethiopia,Oromia,Arsi,Jeju,2.362680410715324e+38,1.5676497127780185e+38,1.877031452292789e+43
Ethiopia,Amhara,North Shewa (AM),Angolelana Tera,3.2743148990032785e+38,6.486736597307478e+37,3.5270265229083516e+43
Ethiopia,Oromia,Ilubabor,Yayu,3.0521016512906108e+38,1.0346200418482653e+38,2.2493683959846673e+43
Ethiopia,Amhara,East Gojam,Awabel,3.2937516793324683e+38,5.993791636126675e+37,3.627375786932054e+43
Ethiopia,Amhara,South Gondar,Andabet/West Esite,3.3616493880841095e+38,3.7203872799224277e+37,1.736392758427085e+43
Ethiopia,Oromia,Jimma,Shebe Sambo,2.7488370509813874e+38,1.340784132327329e+38,1.8849600309694668e+43
Ethiopia,Oromia,East Hararge,Bedeno,2.9465346224838505e+38,1.1595132066555843e+38,2.96760234503461e+43
Ethiopia,Oromia,Buno Bedele,Chora (Buno Bedele),3.0634870534515653e+38,1.0195845760833944e+38,2.259168527567857e+43
Ethiopia,Afar,Gabi,Amibara,2.8905992709112687e+38,1.216813414612246e+38,4.774229379807888e+43
Ethiopia,Oromia,Jimma,Seka Chekorsa,3.161518016086706e+38,8.734366196232466e+37,5.500187738126525e+43
Ethiopia,Amhara,South Gondar,Tach Gayint,3.38977182682413e+38,2.103380138688176e+37,3.7560705704307454e+43
Ethiopia,Oromia,East Wellega,Ibantu,2.6020702961841985e+38,1.4434736016829634e+38,1.8177542675083573e+43
Ethiopia,Amhara,North Wollo,Wadla,3.3781076751303316e+38,2.889508680299993e+37,4.334652644420236e+43
Ethiopia,Oromia,Jimma,Nono Benja,3.3041351195409772e+38,5.710338279802084e+37,2.1908398323628404e+43
Ethiopia,Amhara,West Gojam,Dega Damot,3.2848231673559424e+38,6.225834209216667e+37,2.476132551784583e+43
Ethiopia,Somali,Fafan,Haroreys,3.0853511084865434e+38,9.897038402253121e+37,2.9908776575446856e+43
