id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_mean,decision_sd,decision_sum
223901,ET2023A3191402,222788,Ethiopia,Central Ethiopia,Alaba,Wera,0.4695177739810688,0.03156842780480771,175.13012969493866
222829,ET2023A3010219,222696,Ethiopia,Tigray,Central Tigray,Emba Sieneti,0.27466836357177987,0.020508190606035256,106.84599342942238
223794,ET2023A3180604,222775,Ethiopia,South Ethiopia,Wolayita,Humbo,0.4152869397276983,0.024174829739264027,158.63961097598076
223919,ET2023A3192506,222791,Ethiopia,Central Ethiopia,East Gurage,Meskan,0.3906323508401612,0.030326197815719384,155.47167563438416
222816,ET2023A3010206,222696,Ethiopia,Tigray,Central Tigray,Tahtay Mayechew,0.2664541895290715,0.0208053033848908,106.04876743257046
223872,ET2023A3190103,222786,Ethiopia,Central Ethiopia,Gurage,Ezha,0.3282397922716643,0.01724150208293148,130.96767711639404
223882,ET2023A3190120,222786,Ethiopia,Central Ethiopia,Gurage,Enor Ener,0.39937530090184004,0.028114319854825848,156.95449325442314
223691,ET2023A3160008,222767,Ethiopia,Sidama,Sidama,Bensa,0.3797425362798903,0.02851609449709189,150.37804436683655
223905,ET2023A3192002,222789,Ethiopia,Central Ethiopia,Silltie,Silti,0.39810299715707526,0.03139086613565372,158.04688987135887
223936,ET2023A3192901,222795,Ethiopia,Central Ethiopia,Tembaro,Tembaro,0.33224946611507195,0.022392046480787783,132.5675369799137
223681,ET2023A3150206,222766,Ethiopia,Dire Dawa,Dire Dawa rural,Jeldessa,0.2494406865006036,0.033143219205018934,100.77403734624386
223277,ET2023A3040614,222727,Ethiopia,Oromia,North Shewa (OR),Yaya Gulele,0.2184748734799352,0.024598892429414643,88.26384888589382
223193,ET2023A3040208,222723,Ethiopia,Oromia,East Wellega,Gobu Seyo,0.2960427098453339,0.019943310449131852,120.19334019720554
223172,ET2023A3040110,222722,Ethiopia,Oromia,West Wellega,Boji Chekorsa,0.2703094500773059,0.01636125131578405,109.74563673138618
222854,ET2023A3010404,222698,Ethiopia,Tigray,South Tigray,Emba Alaje,0.22667404647486714,0.02051356082108331,94.29640333354473
223477,ET2023A3041907,222740,Ethiopia,Oromia,Horo Guduru,Jimma Rare,0.28536941713708286,0.019994268416707494,116.43072219192982
223279,ET2023A3040616,222727,Ethiopia,Oromia,North Shewa (OR),Mulo,0.24141858217164214,0.01856082199227323,98.0159443616867
223261,ET2023A3040590,222726,Ethiopia,Oromia,West Shewa,Ejersa Lafo,0.2422206325687631,0.0176618222504754,99.55267998576164
222849,ET2023A3010317,222697,Ethiopia,Tigray,East Tigray,Geraleta,0.2716955882296608,0.01717045337416922,113.5687558799982
223522,ET2023A3050203,222745,Ethiopia,Somali,Fafan,Babile (SM),0.3312192001708464,0.04325237261185535,137.1247488707304
222903,ET2023A3020202,222703,Ethiopia,Afar,Kilbati,Kunneba,0.35919135354814075,0.04777289721351747,150.86036849021912
223714,ET2023A3160031,222767,Ethiopia,Sidama,Sidama,Hokko,0.4370430808487032,0.031061349557753748,178.7506200671196
