id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,education_mean,education_sd,education_sum
223522,ET2023A3050203,222745,Ethiopia,Somali,Fafan,Babile (SM),0.8986829825933429,0.07952736145010611,372.05475479364395
222903,ET2023A3020202,222703,Ethiopia,Afar,Kilbati,Kunneba,0.8423195567869005,0.10680217575999866,353.7742138504982
223714,ET2023A3160031,222767,Ethiopia,Sidama,Sidama,Hokko,0.5787495562674655,0.05376060103359481,236.7085685133934
223683,ET2023A3150208,222766,Ethiopia,Dire Dawa,Dire Dawa rural,Biyoawale,0.6383816120699589,0.06886867812682691,263.65160578489304
223433,ET2023A3041604,222737,Ethiopia,Oromia,Buno Bedele,Dega,0.6255886141742979,0.07586483547655459,262.7472179532051
223885,ET2023A3190203,222787,Ethiopia,Central Ethiopia,Hadiya,Lemmo,0.4725568471632027,0.04257789514113671,198.0013189613819
223471,ET2023A3041901,222740,Ethiopia,Oromia,Horo Guduru,Horo,0.677082593455201,0.07791930643707481,284.37468925118446
223886,ET2023A3190204,222787,Ethiopia,Central Ethiopia,Hadiya,Shashogo,0.5168017469418859,0.036141738267410795,212.922319740057
223366,ET2023A3041019,222731,Ethiopia,Oromia,East Hararge,Maya town,0.5072107477461475,0.06156009313595035,214.55014629662037
223412,ET2023A3041408,222735,Ethiopia,Oromia,Gujii,Dama,0.7038368024724595,0.04425816723342502,297.7229674458504
223820,ET2023A3181009,222776,Ethiopia,South Ethiopia,Gamo,Daramalo,0.6934724368137636,0.05667255699300717,297.49967539310455
222917,ET2023A3020306,222704,Ethiopia,Afar,Gabi,Arguba,0.8318876624107361,0.1131305873936035,357.7116948366165
223795,ET2023A3180605,222775,Ethiopia,South Ethiopia,Wolayita,Sodo Zuria,0.3973687071093293,0.05180916870078471,170.8685440570116
223288,ET2023A3040703,222728,Ethiopia,Oromia,East Shewa,Adama,0.6271289250615871,0.11426386883685238,248.3430543243885
222832,ET2023A3010222,222696,Ethiopia,Tigray,Central Tigray,Tanqua Melashe,0.5446129562457402,0.07872826296334406,245.07583031058311
222825,ET2023A3010215,222696,Ethiopia,Tigray,Central Tigray,Ahsea,0.5936775959862604,0.0782778968963044,267.15491819381714
223023,ET2023A3030507,222712,Ethiopia,Amhara,North Shewa (AM),Antsokiya,0.5913465562161435,0.07334902145483924,263.14921751618385
223836,ET2023A3181302,222778,Ethiopia,South Ethiopia,Konso,Segen Zuria,0.7541963515916743,0.08607173818788219,334.1089837551117
223215,ET2023A3040319,222724,Ethiopia,Oromia,Ilubabor,Halu /Huka,0.4861861374778272,0.07517454053353,214.4080866277218
223166,ET2023A3040104,222722,Ethiopia,Oromia,West Wellega,Lalo Asabi,0.36942278809017604,0.04559667316177928,166.24025464057922
223454,ET2023A3041712,222738,Ethiopia,Oromia,West Arsi,Shashemene,0.5103846641061557,0.08033205593527323,228.14194485545158
223038,ET2023A3030522,222712,Ethiopia,Amhara,North Shewa (AM),Menze Lalo Midir,0.5979744318807334,0.0709788478272642,272.67634093761444
223245,ET2023A3040505,222726,Ethiopia,Oromia,West Shewa,Cheliya,0.6699980369358932,0.059788401563632576,308.86909502744675
223212,ET2023A3040315,222724,Ethiopia,Oromia,Ilubabor,Bilo Nopha,0.5827128405754383,0.10501872585834453,272.7096093893051
223754,ET2023A3171704,222771,Ethiopia,South West Ethiopia,Dawro,Gena,0.6638719841134395,0.0796789635356022,309.3643445968628
223191,ET2023A3040206,222723,Ethiopia,Oromia,East Wellega,Wayu Tuka,0.6344213037409334,0.05682788664804325,296.90917015075684
223911,ET2023A3192008,222789,Ethiopia,Central Ethiopia,Silltie,Hulbareg,0.48979536977933275,0.07219850189089001,231.6732099056244
223323,ET2023A3040822,222729,Ethiopia,Oromia,Arsi,Diksis,0.6454557514971961,0.07262589985795535,305.30057045817375
222803,ET2023A3010109,222695,Ethiopia,Tigray,Northwest Tigray,Selekleka,0.5146111724530337,0.08622026847084376,247.5279739499092
223049,ET2023A3030601,222713,Ethiopia,Amhara,East Gojam,Bibugn,0.8338787686899773,0.06365961002373163,397.76017266511917
223828,ET2023A3181017,222776,Ethiopia,South Ethiopia,Gamo,Kucha Alpha,0.6387267963158036,0.07245985172177669,305.31140863895416
223336,ET2023A3040907,222730,Ethiopia,Oromia,West Hararge,Goba Koricha,0.6242775873771842,0.05057177023946972,300.90179711580276
