,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,population_mean,population_sd,population_sum
200,222996,ET2023A3030412,222711,Ethiopia,Amhara,South Wollo,Borena /Debresina,13.94096,6.816581,206618.96875
201,222997,ET2023A3030413,222711,Ethiopia,Amhara,South Wollo,Kelela,8.825427,4.262914,163667.546875
202,222998,ET2023A3030414,222711,Ethiopia,Amhara,South Wollo,Jama,9.590747,3.409618,156799.125
203,222999,ET2023A3030415,222711,Ethiopia,Amhara,South Wollo,Were Ilu,9.893288,6.0240197,130433.109375
204,223000,ET2023A3030416,222711,Ethiopia,Amhara,South Wollo,Wegde,11.794292,4.144052,174036.578125
205,223001,ET2023A3030417,222711,Ethiopia,Amhara,South Wollo,Kombolcha town,39.291546,85.553246,206241.328125
206,223002,ET2023A3030418,222711,Ethiopia,Amhara,South Wollo,Dessie town,38.297188,55.477634,280756.6875
207,223003,ET2023A3030419,222711,Ethiopia,Amhara,South Wollo,Mehal Sayint,8.635536,3.526839,94636.84375
208,223004,ET2023A3030420,222711,Ethiopia,Amhara,South Wollo,Legehida,11.57935,6.001755,101655.1171875
209,223005,ET2023A3030421,222711,Ethiopia,Amhara,South Wollo,Mekdela,8.522141,2.6342432,186123.5625
210,223006,ET2023A3030422,222711,Ethiopia,Amhara,South Wollo,Worebabu,11.062999,8.080013,121571.296875
211,223007,ET2023A3030423,222711,Ethiopia,Amhara,South Wollo,Wereilu town,36.150097,19.175516,8422.97265625
212,223008,ET2023A3030424,222711,Ethiopia,Amhara,South Wollo,Akeseta town,26.985332,15.890943,12548.1796875
213,223009,ET2023A3030425,222711,Ethiopia,Amhara,South Wollo,Harbu town,47.18052,24.624924,9766.3671875
214,223010,ET2023A3030426,222711,Ethiopia,Amhara,South Wollo,Wegel tena town,26.779991,17.13757,11220.81640625
215,223011,ET2023A3030427,222711,Ethiopia,Amhara,South Wollo,Degolo town,32.120304,16.13686,9443.369140625
216,223012,ET2023A3030428,222711,Ethiopia,Amhara,South Wollo,Kelela town,21.79961,6.70396,3487.937744140625
217,223013,ET2023A3030429,222711,Ethiopia,Amhara,South Wollo,Tulu Awila,27.79415,14.130145,3279.709716796875
218,223014,ET2023A3030430,222711,Ethiopia,Amhara,South Wollo,Wegde town,25.902285,11.220367,2123.9873046875
219,223015,ET2023A3030498,222711,Ethiopia,Amhara,South Wollo,Mekane Selame,21.51647,13.265685,4475.42578125
220,223016,ET2023A3030499,222711,Ethiopia,Amhara,South Wollo,Hike town,62.759266,26.073786,13493.2421875
221,223017,ET2023A3030501,222712,Ethiopia,Amhara,North Shewa (AM),Mida Woremo,13.102053,7.080491,120931.9453125
222,223018,ET2023A3030502,222712,Ethiopia,Amhara,North Shewa (AM),Merhabete,15.264426,7.8967085,152781.640625
223,223019,ET2023A3030503,222712,Ethiopia,Amhara,North Shewa (AM),Ensaro,14.10789,8.24932,81853.9765625
224,223020,ET2023A3030504,222712,Ethiopia,Amhara,North Shewa (AM),Moretna Jiru,12.898074,7.1542554,109556.2421875
225,223021,ET2023A3030505,222712,Ethiopia,Amhara,North Shewa (AM),Menze Gera Midir,10.178785,3.2857552,144935.71875
226,223022,ET2023A3030506,222712,Ethiopia,Amhara,North Shewa (AM),Gishe Rabel,7.1010556,1.9930304,79432.40625
227,223023,ET2023A3030507,222712,Ethiopia,Amhara,North Shewa (AM),Antsokiya,11.275874,4.928294,99588.5234375
228,223024,ET2023A3030508,222712,Ethiopia,Amhara,North Shewa (AM),Eferatana Gidem,10.30296,7.2253976,133042.125
229,223025,ET2023A3030509,222712,Ethiopia,Amhara,North Shewa (AM),Menze Mama Midir,8.743007,4.2544074,104417.734375
230,223026,ET2023A3030510,222712,Ethiopia,Amhara,North Shewa (AM),Tarema Ber,8.16772,4.333043,101622.765625
231,223027,ET2023A3030511,222712,Ethiopia,Amhara,North Shewa (AM),Mojan Wedera,8.570048,5.34116,89822.671875
232,223028,ET2023A3030512,222712,Ethiopia,Amhara,North Shewa (AM),Kewet,10.064279,7.316883,136220.015625
233,223029,ET2023A3030513,222712,Ethiopia,Amhara,North Shewa (AM),Angolelana Tera,6.857502,4.7194757,104487.7578125
